,TAVG_rmse,country,state
0,0.05153206393958703,El Salvador,UNK
0,0.025665689825616976,Mozambique,UNK
0,0.015474738409938547,Wallis and Futuna [France],UNK
0,0.06604163773374072,Luxembourg,UNK
0,0.03208593257116868,Kenya,UNK
0,0.06097346383442841,Sweden,UNK
0,0.02040041105470588,Ghana,UNK
0,0.06055525170167237,Sudan,UNK
0,0.07960604640883545,Lithuania,UNK
0,0.05349970563735872,Lebanon,UNK
0,0.06353662116022553,Albania,UNK
0,0.04040908158814198,Cook Islands [New Zealand],UNK
0,0.028056433385298677,Cote D'Ivoire,UNK
0,0.05336069380292621,Turkey,UNK
0,0.23618790057342207,Marshall Islands,MH
0,0.06470294280271705,Belgium,UNK
0,0.021187920861852533,Colombia,UNK
0,0.04663184538756439,Gambia,UNK
0,0.052304811204368064,Costa Rica,UNK
0,0.020028364474962364,Jamaica,UNK
0,0.026510308767433353,Dominican Republic,UNK
0,0.08700815457220908,Belarus,UNK
0,0.027271184809019047,Christmas Island [Australia],UNK
0,0.02242443993519849,Maldives,UNK
0,0.0772230809736658,Niger,UNK
0,0.03265608175598346,Chile,UNK
0,0.0460266231661817,Guinea,UNK
0,0.10417548838395943,Ecuador,UNK
0,0.026608695864423635,India,UNK
0,0.05426648106489409,Guinea-Bissau,UNK
0,0.07935199643807149,Bulgaria,UNK
0,0.04617598453999003,Mexico,UNK
0,0.07927030613089525,Cameroon,UNK
0,0.04201003659874445,Russia,UNK
0,0.05979128888891863,Macau S.A.R,UNK
0,0.05423507485018694,Mauritania,UNK
0,0.06972130780466616,United Arab Emirates,UNK
0,0.13045647066939225,South Georgia and the South Sandwich Islands [United Kingdom],UNK
0,0.1346611427905103,Jan Mayen [Norway],UNK
0,0.04655103735446534,Senegal,UNK
0,0.08540591816928803,Uzbekistan,UNK
0,0.03210956661508522,Togo,UNK
0,0.060261427251247085,French Guiana [France],UNK
0,0.07049487425853784,Argentina,UNK
0,0.0010651025222614408,Puerto Rico [United States],PR
0,0.3385247520641162,Greenland [Denmark],UNK
0,0.11852267621402228,Macedonia,UNK
0,0.016236746091287148,Brunei,UNK
0,0.05366815455251195,Denmark,UNK
0,0.045325845384977206,Malawi,UNK
0,0.03657019458868009,Cocos (Keeling) Islands [Australia],UNK
0,0.02906847526888614,Bermuda [United Kingdom],UNK
0,0.08355923995353418,Slovakia,UNK
0,0.045891562338475016,Japan,UNK
0,0.07144963027519889,Norway,UNK
0,0.04716659259396214,Estonia,UNK
0,0.04275667143915571,Cambodia,UNK
0,0.007759773693397412,Indonesia,UNK
0,0.05628864417001252,Bahrain,UNK
0,0.0535639190679959,Mali,UNK
0,0.08853305744673777,Czech Republic,UNK
0,0.08079649720697749,Mongolia,UNK
0,0.013314574711904843,Sri Lanka,UNK
0,0.01582723097665506,Malaysia,UNK
0,0.09361796692268895,Serbia,UNK
0,0.09544598198716141,Iceland,UNK
0,0.044713636113119445,Morocco,UNK
0,0.08078003970433033,Croatia,UNK
0,0.052141474536816834,South Africa,UNK
0,0.06560105903190726,Bolivia,UNK
0,0.05608451176537439,Rwanda,UNK
0,0.042918452125744314,Thailand,UNK
0,0.031999934995316864,Congo (Brazzaville),UNK
0,0.09287465212661353,Paraguay,UNK
0,0.03204101876075441,Malta,UNK
0,0.09053005990934312,French Southern and Antarctic Lands [France],UNK
0,0.03888834355275567,New Zealand,UNK
0,0.03922230149683304,Pakistan,UNK
0,0.05945764484482446,Cape Verde,UNK
0,0.050937028112169026,Ethiopia,UNK
0,0.050439605121987766,"Korea, South",UNK
0,0.0391537237922951,Bangladesh,UNK
0,0.04868108650160836,Spain,UNK
0,0.062168920172583665,Egypt,UNK
0,0.0652280534927369,Mayotte [France],UNK
0,0.018306407099922744,Philippines,UNK
0,0.0286074565242078,Seychelles,UNK
0,0.048219883861269595,Benin,UNK
0,0.06780721637254401,Kazakhstan,UNK
0,0.08667186398340238,Portugal,UNK
0,0.07685719711642217,Saint Pierre and Miquelon [France],UNK
0,0.06481789251523074,Montenegro,UNK
0,0.08959094592522619,Azerbaijan,UNK
0,0.025985579448560756,Cayman Islands [United Kingdom],UNK
0,0.0650688164222586,Jordan,UNK
0,0.054201968489842635,Zimbabwe,UNK
0,0.06546658646839053,Italy,UNK
0,0.013802633670317506,Tromelin Island [France],UNK
0,0.059506531911098656,Israel,UNK
0,0.04410682400603066,French Polynesia,UNK
0,0.032273972232246984,Brazil,UNK
0,0.01758080537156527,American Samoa [United States],AS
0,0.058334589923153886,Canada,ON
0,0.0771227952966138,Canada,NB
0,0.04839523866629227,Canada,NL
0,0.08515124040540807,Canada,NS
0,0.20986820849982507,Canada,NT
0,0.058676505995612194,Canada,PE
0,0.04513702148762426,Canada,QC
0,1.137486332721751,Canada,NU
0,0.08990248732407145,Canada,AB
0,0.11156266505201871,Canada,BC
0,0.09669861794227075,Canada,MB
0,0.09183483157057129,Canada,SK
0,0.1880540396367185,Canada,YT
0,0.020821396511285454,Sierra Leone,UNK
0,0.0830984027037259,Ukraine,UNK
0,0.04814577800116105,Cyprus,UNK
0,0.02597568085937294,Botswana,UNK
0,0.04882749210025083,Oman,UNK
0,0.07392616804847182,China,UNK
0,0.02420833426880458,Gibraltar [United Kingdom],UNK
0,0.027736312579213513,Australia,UNK
0,0.01872913691036261,Liberia,UNK
0,0.015389575856147445,Vanuatu,UNK
0,0.05272875549043274,Tunisia,UNK
0,0.024521585099979877,Guam [United States],GU
0,0.018285779205039612,Tuvalu,UNK
0,0.08362832313254279,Turkmenistan,UNK
0,0.018103729110622677,Singapore,UNK
0,0.037930265806595205,Cuba,UNK
0,0.2221384531135169,Federated States of Micronesia,FM
0,0.019900385443101697,Venezuela,UNK
0,0.0803113754307374,Georgia,UNK
0,0.0349846162985052,Angola,UNK
0,0.08132899977930352,Uruguay,UNK
0,0.04029099762966703,Burkina Faso,UNK
0,0.025559497923646365,Congo (Kinshasa),UNK
0,0.04462515245913314,Wake Island [United States],UM
0,0.06910200228008641,Slovenia,UNK
0,0.015964132606605053,Europa Island [France],UNK
0,0.02175334744571644,Trinidad and Tobago,UNK
0,0.01950126702246992,Equatorial Guinea,UNK
0,0.032348396573795714,Norfolk Island [Australia],UNK
0,0.05121274753629283,Afghanistan,UNK
0,0.09523507546697225,Moldova,UNK
0,0.050359355480942516,Saudi Arabia,UNK
0,0.0312273907878361,Greece,UNK
